model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,failed_main_inspection,condition
 TT,2020,31000,Automatic,2000,Petrol,150,40.9,2.0,Audi,0.0,5
 A4,2017,16990,Manual,16000,Diesel,150,67.3,2.0,Audi,0.0,1
 Q7,2016,27950,Semi-Auto,53744,Diesel,200,47.9,3.0,Audi,0.0,4
 A3,2019,18530,Semi-Auto,7968,Diesel,145,52.3,1.6,Audi,0.0,5
 GLA Class,2016,16695,Automatic,20800,Diesel,30,64.2,2.1,Mercedes,0.0,3
 A5,2019,25998,Semi-Auto,19686,Petrol,145,39.8,2.0,Audi,0.0,5
 Polo,2016,7999,Manual,40232,Petrol,20,60.1,1.2,VW,0.0,5
 CL Class,2019,27299,Semi-Auto,2539,Petrol,145,38.2,2.0,Mercedes,0.0,5
 Golf,2017,13999,Manual,9107,Diesel,145,61.4,1.6,VW,0.0,1
 E Class,2019,46199,Semi-Auto,800,Petrol,145,32.1,3.0,Mercedes,0.0,2
 Q5,2019,34985,Automatic,6058,Diesel,145,39.2,2.0,Audi,0.0,3
 Q3,2016,17998,Manual,5681,Petrol,125,51.4,1.4,Audi,0.0,1
 Golf,2016,14199,Automatic,9712,Petrol,30,53.3,1.4,VW,0.0,1
 A3,2017,19082,Manual,5544,Diesel,145,65.7,2.0,Audi,0.0,3
 Golf,2015,12495,Manual,44800,Petrol,30,53.3,1.4,VW,1.0,1
 C Class,2019,30480,Semi-Auto,199,Diesel,145,64.2,2.0,Mercedes,0.0,1
 V Class,2019,24750,Automatic,14679,Diesel,145,48.7,2.1,Mercedes,0.0,2
 Q5,2019,57895,Automatic,1004,Diesel,145,32.5,3.0,Audi,0.0,1
 Polo,2016,9465,Manual,24000,Petrol,20,60.1,1.0,VW,0.0,2
 E Class,2016,20995,Automatic,15221,Diesel,30,65.7,2.0,Mercedes,0.0,1
 A3,2017,18488,Semi-Auto,28263,Petrol,150,47.9,2.0,Audi,0.0,1
 A Class,2019,39960,Automatic,4792,Petrol,145,35.3,2.0,Mercedes,0.0,5
 Polo,2017,8999,Manual,35034,Petrol,20,60.1,1.0,VW,0.0,5
 Golf,2017,22000,Manual,15762,Petrol,200,39.8,2.0,VW,0.0,1
 C Class,2017,21295,Semi-Auto,28908,Diesel,30,65.7,2.1,Mercedes,0.0,3
 Tiguan,2017,22790,Manual,23933,Diesel,145,50.4,2.0,VW,0.0,2
 Golf,2016,11999,Manual,15751,Petrol,30,53.3,1.4,VW,1.0,4
 C Class,2019,28480,Automatic,2880,Diesel,145,60.1,2.0,Mercedes,0.0,1
 Q5,2014,14888,Manual,48138,Diesel,205,47.9,2.0,Audi,0.0,3
 C Class,2016,16298,Semi-Auto,23360,Diesel,30,64.2,1.6,Mercedes,0.0,1
 Golf SV,2016,11987,Automatic,21926,Petrol,30,54.3,1.4,VW,0.0,1
 A1,2017,14400,Manual,23416,Petrol,30,55.4,1.4,Audi,0.0,4
 A Class,2016,14056,Manual,26276,Diesel,20,68.9,1.5,Mercedes,0.0,3
 Polo,2016,9350,Manual,14632,Petrol,20,60.1,1.2,VW,0.0,1
 E Class,2019,37219,Semi-Auto,800,Diesel,145,57.7,2.0,Mercedes,0.0,1
 C Class,2019,24950,Automatic,4979,Petrol,145,44.1,1.5,Mercedes,0.0,1
 Golf,2017,17290,Manual,15428,Diesel,20,67.3,2.0,VW,0.0,4
 Q3,2016,16499,Manual,22916,Diesel,145,51.4,2.0,Audi,0.0,3
 Q2,2019,21032,Manual,2346,Diesel,145,49.6,1.6,Audi,0.0,4
 GLA Class,2019,21497,Automatic,3999,Petrol,145,44.8,1.6,Mercedes,0.0,4
 Polo,2016,9490,Manual,29234,Petrol,0,65.7,1.0,VW,0.0,4
 E Class,2018,21386,Semi-Auto,17811,Diesel,145,65.7,2.0,Mercedes,0.0,1
 V Class,2019,42980,Semi-Auto,1598,Diesel,145,37.7,2.0,Mercedes,0.0,1
 Polo,2017,12995,Semi-Auto,18200,Petrol,20,60.1,1.2,VW,1.0,5
 Q3,2019,34990,Semi-Auto,4800,Petrol,145,31.4,2.0,Audi,0.0,2
 A1,2016,15900,Semi-Auto,23802,Petrol,30,56.5,1.4,Audi,0.0,5
 A3,2013,9690,Manual,30270,Petrol,125,53.3,1.4,Audi,0.0,5
 A Class,2017,13782,Manual,16174,Diesel,0,80.7,1.5,Mercedes,0.0,2
 Touran,2016,14990,Manual,47600,Diesel,30,64.2,1.6,VW,1.0,4
 A5,2020,32990,Semi-Auto,2400,Petrol,145,40.4,2.0,Audi,0.0,1
 E Class,2019,25276,Semi-Auto,7236,Diesel,145,72.4,2.0,Mercedes,0.0,1
 GLE Class,2015,24950,Semi-Auto,35040,Diesel,200,47.9,2.1,Mercedes,0.0,4
 Polo,2017,9499,Manual,20907,Petrol,20,60.1,1.0,VW,0.0,3
 Q3,2012,7695,Manual,158900,Diesel,145,54.3,2.0,Audi,1.0,3
 Golf,2017,12780,Manual,39489,Petrol,145,54.3,1.4,VW,1.0,4
 Golf,2017,14750,Semi-Auto,8960,Petrol,150,54.3,1.4,VW,0.0,2
 Q3,2016,17750,Automatic,34662,Diesel,165,50.4,2.0,Audi,0.0,5
 Tiguan,2017,18242,Manual,15210,Petrol,145,48.7,1.4,VW,0.0,1
 Q5,2020,48850,Semi-Auto,564,Diesel,145,34.5,3.0,Audi,0.0,5
 A3,2019,23490,Semi-Auto,5421,Petrol,150,42.2,1.5,Audi,0.0,2
 A Class,2019,20699,Semi-Auto,9665,Petrol,145,28.5,1.3,Mercedes,0.0,3
 Golf,2017,13498,Semi-Auto,32724,Petrol,30,53.3,1.4,VW,1.0,4
 3 Series,2012,9250,Manual,44648,Petrol,160,44.8,2.0,BMW,0.0,3
 E Class,2016,19298,Semi-Auto,21424,Diesel,160,52.3,3.0,Mercedes,0.0,3
 Sharan,2016,18400,Semi-Auto,16032,Diesel,145,54.3,2.0,VW,0.0,3
 A Class,2019,21299,Semi-Auto,5283,Petrol,145,53.3,1.3,Mercedes,0.0,5
 Polo,2016,8390,Manual,22976,Petrol,20,60.1,1.0,VW,0.0,5
 Golf,2016,11950,Manual,13993,Petrol,30,53.3,1.4,VW,0.0,5
 A Class,2017,19231,Automatic,18539,Diesel,145,68.9,2.1,Mercedes,0.0,3
 A3,2019,24450,Semi-Auto,5784,Petrol,150,41.5,1.5,Audi,0.0,1
 C Class,2016,16498,Semi-Auto,21627,Diesel,30,65.7,1.6,Mercedes,0.0,5
 Polo,2017,10450,Manual,20235,Petrol,145,60.1,1.2,VW,0.0,2
 C Class,2016,14580,Semi-Auto,26490,Diesel,20,65.7,2.1,Mercedes,0.0,1
 A1,2016,13600,Manual,22876,Petrol,30,55.4,1.4,Audi,0.0,2
 A4,2014,13490,Manual,36610,Diesel,30,62.8,2.0,Audi,0.0,3
 Tiguan,2016,17290,Manual,32395,Diesel,160,50.4,2.0,VW,1.0,5
 Golf,2015,15000,Manual,28596,Diesel,20,67.3,2.0,VW,0.0,4
 GLC Class,2018,60799,Semi-Auto,1250,Petrol,145,26.4,4.0,Mercedes,0.0,1
 B Class,2020,24495,Semi-Auto,80,Diesel,145,55.4,2.0,Mercedes,0.0,3
 CL Class,2016,19000,Semi-Auto,23436,Diesel,20,67.3,2.1,Mercedes,0.0,5
 A3,2016,13490,Manual,23622,Diesel,20,68.9,1.6,Audi,0.0,3
 Golf,2017,22290,Manual,19705,Petrol,145,35.8,2.0,VW,0.0,1
 E Class,2017,21498,Semi-Auto,25400,Diesel,145,61.4,2.0,Mercedes,0.0,1
 Tiguan,2016,12990,Manual,36300,Diesel,145,53.3,2.0,VW,0.0,1
 Q2,2017,18990,Manual,17560,Petrol,150,50.4,1.4,Audi,0.0,2
 Q2,2019,23990,Manual,1353,Diesel,145,49.6,1.6,Audi,0.0,4
 E Class,2019,25780,Semi-Auto,11646,Diesel,145,72.4,2.0,Mercedes,0.0,3
 Q3,2017,18500,Manual,7362,Petrol,150,51.4,1.4,Audi,0.0,3
 C Class,2019,30899,Automatic,688,Petrol,145,46.3,1.5,Mercedes,0.0,2
 C Class,2015,15500,Automatic,51200,Diesel,30,64.2,2.1,Mercedes,0.0,1
 Tiguan,2016,18491,Manual,14393,Petrol,150,48.7,1.4,VW,0.0,2
 C Class,2017,25999,Semi-Auto,5280,Petrol,145,47.1,2.0,Mercedes,0.0,2
 Golf,2015,11198,Semi-Auto,27074,Petrol,30,53.3,1.4,VW,0.0,2
 CL Class,2014,17990,Semi-Auto,14419,Diesel,30,62.8,2.1,Mercedes,0.0,2
 C Class,2019,28999,Semi-Auto,1913,Petrol,150,46.3,1.5,Mercedes,0.0,1
 Q5,2016,33995,Semi-Auto,18782,Diesel,235,42.2,3.0,Audi,0.0,3
 Q2,2018,22988,Semi-Auto,9077,Petrol,150,52.3,1.4,Audi,0.0,2
 Touran,2016,15995,Manual,13086,Diesel,30,64.2,1.6,VW,0.0,2
 A6,2015,18990,Semi-Auto,56182,Diesel,145,54.3,3.0,Audi,0.0,5
 A Class,2020,24900,Automatic,320,Petrol,145,28.5,1.3,Mercedes,0.0,5
 Q5,2019,49400,Semi-Auto,3037,Hybrid,135,117.7,2.0,Audi,0.0,3
 Golf,2017,13250,Semi-Auto,38135,Diesel,145,61.4,2.0,VW,0.0,4
 Golf,2017,14990,Manual,17155,Diesel,20,68.9,2.0,VW,0.0,2
 A Class,2020,28900,Automatic,848,Petrol,145,53.3,1.3,Mercedes,0.0,3
 Golf,2016,12995,Manual,10114,Petrol,30,53.3,1.4,VW,0.0,1
 SL CLASS,2015,47124,Automatic,8800,Petrol,555,28.5,5.5,Mercedes,0.0,4
 5 Series,2013,12950,Automatic,26623,Diesel,120,60.1,2.0,BMW,0.0,1
 Q2,2019,22495,Manual,800,Diesel,145,49.6,1.6,Audi,0.0,2
 Polo,2017,7998,Manual,34181,Petrol,20,58.9,1.0,VW,0.0,1
 B Class,2017,12498,Manual,23647,Diesel,20,68.9,1.5,Mercedes,0.0,4
 A5,2019,37020,Automatic,16072,Petrol,145,38.7,2.0,Audi,0.0,2
 A1,2016,10495,Manual,34400,Petrol,0,67.3,1.0,Audi,0.0,1
 Golf,2015,10991,Manual,25231,Petrol,30,53.3,1.4,VW,0.0,1
 A5,2015,12995,Manual,33333,Petrol,145,48.7,1.8,Audi,0.0,3
 Passat,2016,15995,Manual,37424,Diesel,125,54.3,2.0,VW,0.0,2
 GLC Class,2016,24486,Semi-Auto,32136,Diesel,125,56.5,2.1,Mercedes,1.0,2
 C Class,2019,27980,Semi-Auto,8785,Petrol,145,44.1,1.5,Mercedes,0.0,2
 A4,2018,16300,Semi-Auto,37132,Petrol,145,51.4,1.4,Audi,0.0,1
 Q5,2014,19995,Semi-Auto,40400,Diesel,235,44.1,3.0,Audi,0.0,3
 C Class,2019,25799,Automatic,6006,Diesel,145,64.2,2.0,Mercedes,0.0,1
 C Class,2019,28390,Semi-Auto,5640,Petrol,145,43.5,2.0,Mercedes,0.0,1
 C Class,2017,19991,Automatic,16674,Petrol,145,48.7,2.0,Mercedes,0.0,5
 A3,2012,6450,Manual,59195,Diesel,30,65.7,1.6,Audi,0.0,3
 A3,2017,17691,Manual,14365,Petrol,30,60.1,1.4,Audi,0.0,1
 Q7,2019,41719,Automatic,6348,Diesel,145,33.6,3.0,Audi,0.0,3
 SL CLASS,2017,18812,Manual,10611,Petrol,145,48.7,1.6,Mercedes,0.0,3
 Polo,2016,10190,Manual,15686,Petrol,20,60.1,1.2,VW,0.0,3
 Golf,2017,21661,Semi-Auto,12812,Petrol,205,39.8,2.0,VW,0.0,4
 A3,2019,16000,Manual,4563,Petrol,145,49.6,1.0,Audi,0.0,3
 A3,2019,24950,Semi-Auto,2640,Diesel,145,50.4,2.0,Audi,0.0,1
 Touareg,2015,17995,Semi-Auto,45910,Diesel,235,42.8,3.0,VW,0.0,1
 Scirocco,2016,12947,Manual,40277,Diesel,20,55.4,2.0,VW,0.0,5
 Up,2017,9489,Manual,7704,Petrol,145,64.2,1.0,VW,1.0,2
 Polo,2017,9999,Manual,12640,Petrol,150,60.1,1.0,VW,0.0,4
 Q3,2017,18696,Manual,18406,Diesel,145,56.5,2.0,Audi,0.0,1
 Q3,2020,34495,Semi-Auto,2400,Petrol,145,40.4,1.5,Audi,0.0,2
 A3,2019,21691,Manual,1807,Diesel,145,51.4,1.6,Audi,0.0,1
 TT,2016,17500,Manual,15633,Diesel,30,62.8,2.0,Audi,0.0,5
 A Class,2015,18998,Semi-Auto,18597,Petrol,200,42.8,2.0,Mercedes,0.0,1
 A4,2016,15500,Manual,29493,Diesel,20,68.9,2.0,Audi,0.0,3
 Sharan,2017,14995,Semi-Auto,45084,Diesel,150,54.3,2.0,VW,1.0,4
 C Class,2016,18995,Manual,7278,Diesel,30,64.2,2.1,Mercedes,0.0,3
 C Class,2019,27000,Automatic,956,Petrol,145,46.3,1.5,Mercedes,0.0,2
 A Class,2019,25149,Semi-Auto,3112,Diesel,145,56.5,2.0,Mercedes,0.0,1
 GLE Class,2017,39599,Semi-Auto,12460,Petrol,145,32.8,3.0,Mercedes,0.0,4
 Golf,2015,12299,Manual,19501,Petrol,30,58.9,1.4,VW,0.0,1
 Tiguan,2017,18295,Semi-Auto,26400,Diesel,150,58.9,2.0,VW,0.0,2
 Passat,2016,8999,Manual,65483,Diesel,20,68.9,1.6,VW,0.0,1
 E Class,2017,19599,Automatic,30177,Diesel,145,65.7,2.0,Mercedes,0.0,2
 B Class,2019,21998,Semi-Auto,5771,Diesel,145,55.4,2.0,Mercedes,0.0,2
 A1,2017,17995,Manual,14800,Petrol,145,70.6,1.4,Audi,0.0,1
 Passat,2017,12498,Manual,21134,Diesel,20,70.6,1.6,VW,0.0,3
 E Class,2019,25780,Semi-Auto,11308,Diesel,145,72.4,2.0,Mercedes,0.0,1
 A3,2017,16299,Manual,30713,Diesel,145,65.7,2.0,Audi,0.0,1
 Tiguan,2017,24481,Semi-Auto,21861,Diesel,150,49.6,2.0,VW,0.0,2
 GLE Class,2017,28672,Semi-Auto,23557,Diesel,145,42.8,3.0,Mercedes,0.0,1
 A Class,2018,16600,Automatic,13604,Diesel,150,74.3,1.5,Mercedes,0.0,3
 A4,2016,16800,Automatic,35371,Diesel,30,65.7,2.0,Audi,0.0,2
 Q7,2017,32995,Semi-Auto,24880,Diesel,150,47.9,3.0,Audi,0.0,4
 A4,2019,28250,Manual,3600,Petrol,145,39.2,2.0,Audi,0.0,3
 Q3,2019,39990,Semi-Auto,6048,Petrol,145,30.7,2.0,Audi,0.0,3
 5 Series,2013,11899,Automatic,30964,Diesel,125,60.1,2.0,BMW,0.0,4
 Golf,2017,19495,Semi-Auto,52115,Hybrid,135,156.9,1.4,VW,1.0,4
 Golf,2014,8595,Manual,88397,Petrol,30,53.3,1.4,VW,1.0,3
 A4,2015,13995,Manual,44028,Diesel,125,58.9,2.0,Audi,0.0,3
 Golf,2016,11499,Manual,17968,Diesel,0,74.3,1.6,VW,0.0,2
 E Class,2019,33879,Automatic,800,Diesel,145,70.6,2.0,Mercedes,0.0,1
 A3,2019,21880,Automatic,13216,Petrol,150,41.5,1.5,Audi,0.0,1
 Golf,2017,13990,Semi-Auto,20116,Diesel,145,68.9,1.4,VW,0.0,5
 B Class,2011,3990,Automatic,72000,Petrol,240,40.9,1.5,Mercedes,0.0,2
 C Class,2019,25980,Semi-Auto,10899,Petrol,145,45.6,1.5,Mercedes,0.0,2
 Q5,2019,32500,Automatic,140,Diesel,150,38.2,2.0,Audi,0.0,5
 A1,2017,13490,Manual,24312,Petrol,30,56.5,1.4,Audi,0.0,4
 SL CLASS,2019,30720,Automatic,4000,Petrol,145,47.1,2.0,Mercedes,0.0,1
 3 Series,2012,8275,Automatic,60000,Diesel,160,52.3,2.0,BMW,0.0,1
 Polo,2015,7800,Manual,57132,Petrol,20,60.1,1.2,VW,1.0,4
 A Class,2019,22899,Automatic,353,Diesel,145,62.8,1.5,Mercedes,0.0,2
 GLE Class,2019,49199,Semi-Auto,5428,Diesel,150,36.7,3.0,Mercedes,0.0,1
 Golf,2017,19698,Semi-Auto,12084,Petrol,160,44.1,2.0,VW,0.0,3
 Q3,2017,19995,Manual,23232,Diesel,150,61.4,2.0,Audi,0.0,2
 A3,2013,8299,Manual,41228,Diesel,20,68.9,1.6,Audi,0.0,4
 E Class,2016,14120,Semi-Auto,39082,Diesel,30,64.2,2.1,Mercedes,0.0,5
 Golf,2017,22395,Semi-Auto,45600,Hybrid,135,156.9,1.4,VW,1.0,3
 Q5,2015,22485,Semi-Auto,30736,Diesel,205,47.1,2.0,Audi,0.0,1
 A5,2016,18480,Semi-Auto,32468,Diesel,145,56.5,2.0,Audi,0.0,4
 Tiguan,2017,24995,Semi-Auto,16264,Diesel,145,57.6,2.0,VW,0.0,1
 GLE Class,2019,49980,Semi-Auto,2275,Diesel,145,36.7,2.0,Mercedes,0.0,1
 GLC Class,2020,42495,Semi-Auto,3000,Petrol,145,31.7,2.0,Mercedes,0.0,1
 C Class,2016,16215,Semi-Auto,34847,Diesel,20,64.2,2.1,Mercedes,0.0,2
 C Class,2019,30799,Semi-Auto,2976,Diesel,145,57.7,2.0,Mercedes,0.0,1
 C Class,2017,22960,Semi-Auto,16980,Diesel,20,67.3,2.1,Mercedes,0.0,3
 C Class,2018,18500,Automatic,19421,Diesel,145,61.4,2.1,Mercedes,0.0,1
 A Class,2016,14400,Manual,23590,Diesel,30,62.8,2.1,Mercedes,0.0,1
 Golf,2015,7140,Manual,64240,Diesel,0,74.3,1.6,VW,0.0,4
 Q3,2017,22995,Semi-Auto,14144,Petrol,145,42.2,2.0,Audi,0.0,1
 Golf,2015,9499,Manual,37712,Diesel,0,74.3,1.6,VW,0.0,5
 Q3,2014,12195,Automatic,42832,Diesel,205,47.9,2.0,Audi,0.0,1
 TT,2019,28000,Semi-Auto,4639,Petrol,150,34.9,2.0,Audi,0.0,2
 TT,2016,17961,Manual,30804,Petrol,165,46.3,2.0,Audi,0.0,1
 GLA Class,2016,19799,Semi-Auto,16701,Diesel,125,56.5,2.1,Mercedes,0.0,2
 CL Class,2017,20961,Manual,13228,Petrol,200,42.2,2.0,Mercedes,0.0,3
 GLA Class,2015,17960,Semi-Auto,30671,Diesel,125,56.5,2.1,Mercedes,0.0,2
 Polo,2016,13000,Manual,18206,Petrol,145,47.0,1.8,VW,0.0,1
 A3,2017,16450,Semi-Auto,30157,Diesel,150,65.7,2.0,Audi,0.0,5
 A4,2012,6990,Automatic,69600,Petrol,145,47.1,2.0,Audi,0.0,5
 A6,2016,17995,Semi-Auto,47068,Diesel,30,61.4,2.0,Audi,0.0,2
 CL Class,2019,24990,Semi-Auto,10800,Diesel,145,51.4,2.2,Mercedes,0.0,4
 CL Class,2019,27380,Automatic,4804,Petrol,145,39.8,2.0,Mercedes,0.0,2
 Q7,2019,46990,Semi-Auto,2611,Diesel,145,33.6,3.0,Audi,0.0,1
 A4,2016,16000,Manual,22457,Diesel,20,70.6,2.0,Audi,0.0,1
 Q5,2019,34990,Automatic,4800,Diesel,145,38.2,2.0,Audi,0.0,2
 Q2,2017,18700,Semi-Auto,28800,Petrol,145,52.3,1.4,Audi,0.0,2
 A Class,2019,20640,Automatic,14291,Petrol,145,53.3,1.3,Mercedes,1.0,2
 E Class,2018,23299,Automatic,16000,Diesel,145,65.7,2.0,Mercedes,0.0,1
 E Class,2019,39450,Semi-Auto,9180,Diesel,145,48.7,3.0,Mercedes,0.0,3
 E Class,2015,14998,Semi-Auto,36026,Diesel,125,56.5,2.1,Mercedes,0.0,1
 Q2,2017,18182,Manual,17860,Petrol,145,52.3,1.4,Audi,0.0,2
 A1,2013,7700,Manual,57696,Petrol,125,52.3,1.4,Audi,0.0,1
 Golf,2016,12300,Manual,18213,Petrol,30,53.3,1.4,VW,0.0,3
 E Class,2018,23354,Automatic,10021,Diesel,145,61.4,2.0,Mercedes,0.0,1
 Q3,2019,26990,Manual,8,Petrol,145,40.9,1.5,Audi,0.0,1
 Q2,2018,19395,Automatic,7656,Petrol,145,54.3,1.4,Audi,0.0,1
 A Class,2018,19660,Automatic,4141,Petrol,145,53.3,1.3,Mercedes,0.0,3
 Golf,2015,11099,Manual,18147,Petrol,30,53.3,1.4,VW,0.0,1
 Polo,2016,8690,Manual,31908,Petrol,20,58.9,1.0,VW,1.0,4
 A6,2013,11966,Semi-Auto,37072,Diesel,145,56.5,2.0,Audi,0.0,1
 E Class,2019,24999,Semi-Auto,15903,Diesel,145,72.4,2.0,Mercedes,1.0,5
 A3,2016,16895,Manual,10009,Petrol,20,60.1,1.4,Audi,0.0,2
 GLC Class,2016,26780,Semi-Auto,26635,Diesel,125,56.5,2.1,Mercedes,0.0,2
 Golf,2017,14000,Manual,26400,Diesel,145,67.3,2.0,VW,0.0,5
 A4,2018,20995,Semi-Auto,32960,Diesel,145,65.7,2.0,Audi,0.0,1
 Golf,2016,18495,Semi-Auto,24510,Petrol,200,40.4,2.0,VW,0.0,1
 C Class,2019,27950,Automatic,4819,Diesel,145,56.5,2.0,Mercedes,0.0,2
 A Class,2020,24889,Semi-Auto,800,Diesel,145,62.8,1.5,Mercedes,0.0,1
 A3,2018,18995,Manual,9880,Petrol,145,54.3,1.5,Audi,0.0,4
 Polo,2017,10690,Manual,13863,Diesel,145,60.1,1.4,VW,0.0,2
 Polo,2017,10500,Manual,16218,Petrol,150,60.1,1.2,VW,0.0,2
 Q2,2019,28888,Semi-Auto,2723,Petrol,145,33.2,2.0,Audi,0.0,5
 Q3,2019,26950,Manual,6800,Diesel,145,42.8,2.0,Audi,0.0,3
 CL Class,2016,17261,Manual,12466,Diesel,30,65.7,2.1,Mercedes,0.0,1
 Polo,2014,10489,Semi-Auto,19517,Petrol,20,60.1,1.2,VW,1.0,4
 Q3,2015,13998,Manual,61488,Diesel,145,52.3,2.0,Audi,0.0,2
 Q3,2016,18000,Automatic,26499,Diesel,160,50.4,2.0,Audi,0.0,5
 Golf,2017,11777,Manual,42074,Diesel,145,61.4,1.6,VW,0.0,4
 A Class,2019,33889,Semi-Auto,800,Petrol,145,36.7,2.0,Mercedes,0.0,1
 A Class,2019,20280,Semi-Auto,10905,Diesel,145,65.7,1.5,Mercedes,0.0,5
 A6,2018,24480,Semi-Auto,24053,Petrol,150,47.1,1.8,Audi,0.0,2
 A3,2016,14495,Manual,34560,Diesel,20,67.3,2.0,Audi,0.0,4
 A3,2019,21500,Manual,4000,Diesel,145,51.4,1.6,Audi,0.0,4
 Q3,2019,27200,Manual,3538,Diesel,150,40.9,2.0,Audi,0.0,3
 GLA Class,2016,17995,Semi-Auto,13535,Diesel,125,56.5,2.1,Mercedes,0.0,1
 Tiguan,2017,14990,Manual,89476,Diesel,150,58.9,2.0,VW,1.0,3
 Golf,2017,12600,Semi-Auto,26958,Diesel,20,68.9,1.6,VW,0.0,4
 5 Series,2010,7475,Manual,60000,Diesel,145,55.4,2.0,BMW,0.0,2
 C Class,2019,28399,Semi-Auto,2448,Petrol,145,45.6,1.5,Mercedes,0.0,1
 E Class,2018,30299,Semi-Auto,1231,Diesel,145,57.7,2.0,Mercedes,0.0,3
 GLC Class,2018,26995,Semi-Auto,28974,Diesel,150,56.5,2.1,Mercedes,1.0,4
 Tiguan,2012,8190,Manual,66443,Diesel,165,48.7,2.0,VW,0.0,1
 A1,2016,9578,Manual,33912,Diesel,0,76.3,1.6,Audi,0.0,1
 Tiguan,2015,9498,Manual,54577,Diesel,160,48.7,2.0,VW,0.0,5
 Q5,2015,23900,Semi-Auto,38711,Diesel,240,42.8,3.0,Audi,0.0,2
 Q3,2016,16995,Semi-Auto,41996,Diesel,160,50.4,2.0,Audi,0.0,5
 CL Class,2015,18498,Semi-Auto,15185,Diesel,20,67.3,2.1,Mercedes,0.0,3
 A6,2017,23998,Semi-Auto,27781,Diesel,205,47.1,3.0,Audi,0.0,2
 A3,2019,22950,Manual,5588,Diesel,145,51.4,1.6,Audi,0.0,1
 A1,2015,10598,Manual,17150,Petrol,125,52.3,1.4,Audi,0.0,2
 C Class,2019,33995,Semi-Auto,14,Petrol,145,42.8,2.0,Mercedes,0.0,5
 TT,2019,26500,Manual,4800,Petrol,145,38.2,2.0,Audi,0.0,3
 A3,2015,11240,Automatic,71200,Hybrid,0,176.6,1.4,Audi,0.0,1
 A3,2016,19490,Manual,42400,Petrol,200,40.4,2.0,Audi,0.0,1
 C Class,2019,24980,Semi-Auto,4362,Petrol,145,45.6,1.5,Mercedes,0.0,4
 CL Class,2016,13799,Manual,41738,Diesel,20,67.3,2.1,Mercedes,0.0,2
 Golf,2016,12799,Manual,20662,Petrol,30,53.3,1.4,VW,1.0,1
 A1,2020,26450,Semi-Auto,4000,Petrol,145,44.1,1.5,Audi,0.0,1
 A3,2017,17000,Manual,23995,Diesel,145,65.7,2.0,Audi,0.0,2
 Q2,2017,23199,Semi-Auto,18380,Petrol,145,54.3,1.4,Audi,0.0,2
 A3,2019,23980,Semi-Auto,3915,Diesel,145,50.4,2.0,Audi,0.0,3
 A1,2016,9490,Manual,58022,Petrol,0,67.3,1.0,Audi,1.0,2
 GLC Class,2020,62189,Semi-Auto,800,Petrol,145,22.1,4.0,Mercedes,0.0,5
 Tiguan,2017,19995,Semi-Auto,31222,Diesel,160,49.6,2.0,VW,1.0,2
 CLS Class,2016,20499,Semi-Auto,18020,Diesel,125,57.7,2.1,Mercedes,0.0,3
 Golf,2016,15887,Manual,20285,Diesel,20,67.3,2.0,VW,0.0,1
 Tiguan,2017,22790,Semi-Auto,25200,Diesel,145,57.6,2.0,VW,0.0,1
 E Class,2019,25199,Semi-Auto,7920,Diesel,145,72.4,2.0,Mercedes,0.0,3
 Polo,2017,10461,Manual,21048,Petrol,145,60.1,1.2,VW,0.0,1
 Tiguan,2017,17900,Manual,28683,Petrol,145,48.7,1.4,VW,1.0,4
 C Class,2020,32980,Semi-Auto,12,Diesel,145,61.4,2.0,Mercedes,0.0,1
 Golf,2016,10199,Manual,52997,Diesel,20,72.4,1.6,VW,1.0,3
 CLS Class,2016,19998,Semi-Auto,23140,Diesel,125,57.7,2.1,Mercedes,0.0,2
 A3,2016,10999,Manual,51802,Diesel,20,70.6,2.0,Audi,0.0,1
 Q2,2019,21005,Manual,4581,Diesel,145,49.6,1.6,Audi,0.0,2
 GLC Class,2019,24500,Automatic,15945,Petrol,150,37.2,2.0,Mercedes,0.0,5
 C Class,2016,20990,Automatic,18400,Diesel,30,64.2,2.1,Mercedes,0.0,1
 Tiguan,2017,14990,Manual,25066,Diesel,145,58.9,2.0,VW,0.0,2
 Touran,2016,13498,Manual,35176,Diesel,30,64.2,1.6,VW,0.0,2
 A Class,2020,32980,Automatic,484,Petrol,145,35.8,2.0,Mercedes,0.0,4
 TT,2020,49000,Semi-Auto,3248,Petrol,145,30.7,2.5,Audi,0.0,5
 A3,2017,13995,Manual,10632,Diesel,145,74.3,1.6,Audi,0.0,5
 TT,2019,38000,Semi-Auto,2400,Petrol,145,34.0,2.0,Audi,0.0,2
 A5,2019,32990,Automatic,4000,Diesel,145,50.4,2.0,Audi,0.0,2
 Up,2017,6691,Manual,20193,Petrol,20,64.2,1.0,VW,0.0,5
 A3,2016,11499,Manual,24668,Petrol,125,53.3,1.4,Audi,0.0,2
 Passat,2017,16850,Manual,14916,Petrol,150,55.4,1.4,VW,0.0,3
 Polo,2017,12999,Semi-Auto,43740,Petrol,20,61.4,1.4,VW,1.0,4
 Q2,2018,18998,Manual,6568,Diesel,150,49.6,1.6,Audi,0.0,2
 Golf,2016,11298,Manual,56565,Diesel,0,74.3,1.6,VW,1.0,3
 Polo,2017,12101,Semi-Auto,4480,Petrol,20,60.1,1.2,VW,0.0,5
 TT,2017,18781,Manual,15113,Petrol,150,46.3,2.0,Audi,0.0,1
